header	Is your research data automatically backed up?	Did you lose any research data in the past year?	You said you lost research data in the past year. How much time did you lose?	How frequently do you have problems finding a specific research data file in your collection?	Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?	You said that you are currently using tools for data management. What are these tool(s)?	Would you be interested in trying out a dedicated tool for research data management?	Does your project have a data management plan?	Do you know who owns the research data that you are creating?	You said you know who owns the research data that you are creating. Who is it?	Who do you think is responsible for the stewardship of research data resulting from your project?	Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?	Are you aware of research data repositories?	Please provide us with the name(s) of the repository(ies) that you are using	Please indicate if you (or related staff / students) would be interested in any potential training on research data management	Which institution are you from?	Have you heard about dedicated support for research data management at EPFL?	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]	Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]	Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]	Do you share data files associated with your publications?	Please specify where you share your data	What is your position?	Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?	Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?	Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?	Which faculty are you from?	Uni
260	No	No		Never	Yes			Not sure	Yes		My supervisor;My university/institution;Project partner (e.g. commercial company or a collaborator)	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.)	TU Delft																Postdoc/Researcher	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
261	Yes	No		Almost never	No		Not sure	Yes	Yes		Not sure	Not sure	No, I have no idea what these are		Not interested in training	TU Delft																Full Professor	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
262	Yes	No		Never	Yes			No	Not sure		My supervisor	No	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																PhD student	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
263	No	No		Sometimes	Yes			Yes	Yes		Myself	No	Not sure		Not interested in training	TU Delft																Full Professor	Not sure	Not sure	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
264	Yes	No		Sometimes	Yes			No	Not sure		Myself	Not sure	Not sure		General introduction to research data management;Funders’ requirements for data management and sharing	TU Delft																Full Professor	Not sure	Yes	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
265	No	No		Never	No		Not sure	No	Yes		Myself;My unit's IT manager	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	TU Delft																Assistant Professor	Yes	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
266	Not sure	No		Almost never	Yes			No	Yes		Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data		General introduction to research data management	TU Delft																Full Professor	Not sure	Yes	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
267	No	No		Sometimes	No		Yes	No	Not sure		Myself;My supervisor;My university/institution	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	TU Delft																PhD student	Yes	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
268	No	No		Sometimes	Yes			No	Yes		Myself;My university/institution	No	No, I have no idea what these are		General introduction to research data management;How to use repositories for data sharing and searching for existing datasets	TU Delft																PhD student	Not sure	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
269	Yes	No		Never	Yes			Yes	Yes		Myself;Project partner (e.g. commercial company or a collaborator)	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;Data ownership and licensing;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																SWE at Google, I will defend in December 2017	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
270	No	Yes	1 day - 7 days	Sometimes	No		Yes	Yes	Not sure		Myself;My supervisor;Project partner (e.g. commercial company or a collaborator)	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software	TU Delft																PhD student	Yes	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
271	Yes	No		Almost never	Yes			No	Not sure		Myself	No	Yes, I am already using them to find existing datasets or to share my own data		Data ownership and licensing;Data café informal drop in sessions	TU Delft																Postdoc/Researcher	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
272	Not sure	Yes	1 day - 7 days	Sometimes	Yes			Yes	Yes		My supervisor	No	No, I have no idea what these are		General introduction to research data management	TU Delft																Support Staff	Yes	No	No	LR - Aerospace Engineering	EPFL
273	No	No		Never	No		No	No	Yes		Myself	No	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																Assistant Professor	No	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
274	Yes	No		Almost never	Yes			No	Not sure		Myself	No	Yes, I am aware of research data repositories, but I have not used them		Data management plan preparation;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.)	TU Delft																Assistant Professor	Yes	No	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
275	Yes	No		Never	Yes			No	Yes		Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data		Data management plan preparation	TU Delft																Associate Professor	Yes	Yes	Not sure	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
276	Yes	No		Never	Yes			No	Yes		Impossible to answer. Even if only one funding agency would have financed a project it is not perse evident that the data than must be open for everyone ;often not all aspects of data generation are financed by agency;lot's of work is invested;so complicating question about ownership. So this cannot be answered simply.	Yes	Yes, I am already using them to find existing datasets or to share my own data		Not really intereseted as I have the impression that I am aware of all of these matters	TU Delft																Full Professor	Yes	Yes	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
277	Yes	No		Sometimes	No		Yes	No	Not sure		My university/institution	Not sure	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	Not sure	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
278	Not sure	No		Sometimes	No		Yes	No	No		My university/institution	No	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data backup and storage solutions;Data ownership and licensing	TU Delft																PhD student	Not sure	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
279	Yes	No		Almost never	Yes			Not sure	Yes		Myself;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																Assistant Professor	Yes	Yes	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
280	No	Yes	1 month - 6 months	Frequently	Yes			No	No		Myself	Yes	No, I have no idea what these are		Data backup and storage solutions;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.)	TU Delft																Support Staff	No	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
281	No	No		Never	No		No	Yes	Not sure		Myself;My university/institution;Project partner (e.g. commercial company or a collaborator)	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;Funders’ requirements for data management and sharing	TU Delft																Full Professor	Not sure	Yes	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
282	No	No		Sometimes	Not sure		Yes	Yes	Yes		My university/institution	Yes	Yes, I am already using them to find existing datasets or to share my own data		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																Assistant Professor	Yes	Yes	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
283	No	No		Almost never	Yes			No	No		Not sure	No	No, I have no idea what these are		General introduction to research data management;Data backup and storage solutions;Using version control software	TU Delft																PhD student	Yes	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
284	No	No		Never	No		No	No	Not sure		Myself;My university/institution;My funding agency	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software	TU Delft																Support Staff	Yes	Not sure	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
285	No	No		Frequently	Yes			No	No		Myself	No	No, I have no idea what these are		Data management plan preparation	TU Delft																PhD student	No	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
286	No	No		Sometimes	Yes			No	Yes		Myself	No	Yes, I am already using them to find existing datasets or to share my own data		Data café informal drop in sessions	TU Delft																Associate Professor	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
287	Yes	No		Almost never	No		No	No	No		Myself	Not sure	Not sure		Not interested in training	TU Delft																Support Staff	Yes	No	Not sure	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
288	Yes	No		Never	No		Yes	No	Not sure		Myself;My supervisor;My university/institution;My funding agency	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;How to use repositories for data sharing and searching for existing datasets	TU Delft																Support Staff	Yes	Yes	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
289	No	No		Never	No		No	No	Not sure		Ik doe helemaal geen onderzoek.	No	Yes, I am aware of research data repositories, but I have not used them		Not interested in training;Zoals gezegd doe ik geen onderzoek;en verder ben ik bijna met pensioen.	TU Delft																Docent	Not sure	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
290	No	No		Sometimes	No		Yes	No	Yes		What do you mean with stewardship?	No	Yes, I am already using them to find existing datasets or to share my own data		Funding of Open Data Solutions	TU Delft																Visiting Professor	Not sure	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
291	Yes	Yes	7 days - 1 month	Almost never	Yes			No	Yes		Myself;My unit's IT manager	Not sure	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																Assistant Professor	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
292	No	Yes	1 day - 7 days	Sometimes	Yes			Not sure	Yes		Myself;My supervisor;My unit's IT manager;My university/institution	Not sure	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	TU Delft																PhD student	Not sure	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
293	No	No		Almost never	No		Yes	Not sure	Not sure		Myself;My supervisor;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																Postdoc/Researcher	No	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
294	No	No		Sometimes	Yes			No	Not sure		Myself;My supervisor;My university/institution;My funding agency	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;Data ownership and licensing;Funders’ requirements for data management and sharing	TU Delft																PhD student	No	No	No	CiTG - Civil Engineering and Geosciences	EPFL
295	Yes	No		Almost never	No		Yes	No	No		Myself;Project partner (e.g. commercial company or a collaborator)	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions	TU Delft																PhD student	Yes	No	Yes	CiTG - Civil Engineering and Geosciences	EPFL
296	Yes	Not sure		Sometimes	Not sure		Not sure	No	Yes		Myself	No	Yes, I am already using them to find existing datasets or to share my own data		Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	Not sure	No	No	CiTG - Civil Engineering and Geosciences	EPFL
297	Yes	No		Almost never	No		Not sure	Yes	Yes		Myself	No	Yes, I am already using them to find existing datasets or to share my own data		Data management plan preparation;Data backup and storage solutions;Data ownership and licensing	TU Delft																Postdoc/Researcher	Not sure	No	Yes	CiTG - Civil Engineering and Geosciences	EPFL
298	Not sure	Yes	7 days - 1 month	Sometimes	Not sure		Yes	Yes	Not sure		Myself;My supervisor;My funding agency	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data ownership and licensing;Not interested in training	TU Delft																PhD student	Not sure	No	Not sure	CiTG - Civil Engineering and Geosciences	EPFL
299	Not sure	No		Sometimes	No		Yes	Not sure	No		Not sure	No	Yes, I am aware of research data repositories, but I have not used them		How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	No	No	No	CiTG - Civil Engineering and Geosciences	EPFL
300	No	Yes	1 month - 6 months	Sometimes	No		Not sure	No	Yes		Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																Postdoc/Researcher	Not sure	No	No	CiTG - Civil Engineering and Geosciences	EPFL
301	No	No		Sometimes	No		Yes	Not sure	No		Myself	No	Not sure		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	TU Delft																PhD student	Not sure	No	No	CiTG - Civil Engineering and Geosciences	EPFL
302	Yes	No		Almost never	No		Not sure	No	No		Myself	No	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	Not sure	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
303	No	No		Never	No		Not sure	No	Yes		Myself;My supervisor;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																PhD student	Yes	Not sure	No	CiTG - Civil Engineering and Geosciences	EPFL
304	Yes	No		Sometimes	Yes			No	No		Myself	No	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																PhD student	Yes	Not sure	No	CiTG - Civil Engineering and Geosciences	EPFL
305	No	Yes	Less than 1 day	Frequently	Yes			No	No		Myself;My university/institution	No	Yes, I am already using them to find existing datasets or to share my own data		General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.)	TU Delft																PhD student	Not sure	No	No	CiTG - Civil Engineering and Geosciences	EPFL
306	No	No		Sometimes	No		Yes	No	No		Myself;My supervisor;My funding agency;Project partner (e.g. commercial company or a collaborator)	No	No, I have no idea what these are		Organising folders and files;How to use repositories for data sharing and searching for existing datasets	TU Delft																PhD student	Not sure	No	No	CiTG - Civil Engineering and Geosciences	EPFL
307	No	No		Sometimes	Yes			Not sure	Not sure		Myself	No	No, I have no idea what these are		Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.)	TU Delft																PhD student	No	No	Yes	CiTG - Civil Engineering and Geosciences	EPFL
308	Yes	No		Sometimes	No		Yes	Not sure	No		Myself	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	Yes	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
309	Yes	No		Frequently	Yes			Not sure	Not sure		Myself	Not sure	Yes, I am already using them to find existing datasets or to share my own data		Not interested in training	TU Delft																PhD student	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
310	No	No		Sometimes	No		Yes	Yes	Not sure		Myself	Not sure	Yes, I am already using them to find existing datasets or to share my own data		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software	TU Delft																Postdoc/Researcher	Yes	Not sure	No	CiTG - Civil Engineering and Geosciences	EPFL
311	No	No		Frequently	No		Yes	No	Yes		Myself	No	No, I have no idea what these are		Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software	TU Delft																PhD student	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
312	No	Not sure		Sometimes	No		Yes	Yes	Not sure		Myself	No	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software	TU Delft																PhD student	No	No	No	CiTG - Civil Engineering and Geosciences	EPFL
313	Yes	No		Almost never	No		Not sure	No	Not sure		Myself;My supervisor;My unit's IT manager;My university/institution	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files	TU Delft																Postdoc/Researcher	Yes	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
314	No	No		Almost never	Yes			Yes	Not sure		Myself;Project partner (e.g. commercial company or a collaborator);project leader	Not sure	Yes, I am already using them to find existing datasets or to share my own data		Data management plan preparation;Data ownership and licensing	TU Delft																PhD student	Yes	Yes	Yes	CiTG - Civil Engineering and Geosciences	EPFL
315	No	No		Sometimes	No		Yes	Not sure	Not sure		My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator)	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;How to use repositories for data sharing and searching for existing datasets;Using version control software	TU Delft																PhD student	Yes	Yes	Not sure	CiTG - Civil Engineering and Geosciences	EPFL
316	No	Not sure		Sometimes	Not sure		Yes	Not sure	Not sure		Myself	Not sure	Not sure		General introduction to research data management	TU Delft																PhD student	Not sure	No	No	CiTG - Civil Engineering and Geosciences	EPFL
317	Yes	No		Almost never	Not sure		Not sure	No	Not sure		Myself;My supervisor	No	Yes, I am aware of research data repositories, but I have not used them		How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	Yes	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
318	No	No		Almost never	No		Not sure	No	Yes		My unit's IT manager	No	Yes, I am already using them to find existing datasets or to share my own data		Data backup and storage solutions	TU Delft																PhD student	Yes	Not sure	No	CiTG - Civil Engineering and Geosciences	EPFL
319	Yes	No		Sometimes	No		Yes	No	Yes		Myself;My supervisor	Not sure	Yes, I am aware of research data repositories, but I have not used them		How to use repositories for data sharing and searching for existing datasets;Using version control software;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	Yes	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
320	Yes	No		Almost never	Yes			No	No		My supervisor;My funding agency	No	No, I have no idea what these are		General introduction to research data management;How to use repositories for data sharing and searching for existing datasets;Funders’ requirements for data management and sharing	TU Delft																Postdoc/Researcher	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
321	No	No		Sometimes	No		Yes	Not sure	Not sure		Myself;My supervisor;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		Using version control software	TU Delft																PhD student	Not sure	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
322	Yes	No		Sometimes	No		Yes	No	No		Myself;My supervisor	Yes	Not sure		Organising folders and files;How to use repositories for data sharing and searching for existing datasets	TU Delft																PhD student	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
323	Yes	No		Almost never	No		Not sure	Yes	Not sure		My university/institution;Project partner (e.g. commercial company or a collaborator)	No	Yes, I am aware of research data repositories, but I have not used them		Data ownership and licensing	TU Delft																Postdoc/Researcher	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
324	No	No		Sometimes	Yes			No	No		Myself;My supervisor;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/)	TU Delft																Postdoc/Researcher	No	No	No	CiTG - Civil Engineering and Geosciences	EPFL
325	No	No		Almost never	No		Yes	No	Yes		Myself;My supervisor	No	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions	TU Delft																PhD student	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
326	Not sure	No		Sometimes	No		Yes	No	Yes		Myself	No	No, I have no idea what these are		How to use repositories for data sharing and searching for existing datasets	TU Delft																PhD student	Yes	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
327	Yes	No		Almost never	No		Not sure	No	No		Myself	No	No, I have no idea what these are		General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing	TU Delft																PhD student	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
328	Yes	No		Almost never	No		No	No	Yes		Myself;My supervisor;My university/institution;My funding agency	No	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																Postdoc/Researcher	Yes	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
329	Not sure	Yes	7 days - 1 month	Sometimes	No		Yes	No	Not sure		Myself	Yes	No, I have no idea what these are		Data backup and storage solutions;Funders’ requirements for data management and sharing	TU Delft																Intern 	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
330	Yes	Yes	1 day - 7 days	Almost never	Yes			Yes	Not sure		Myself;My supervisor;My university/institution;Project partner (e.g. commercial company or a collaborator);Not sure	Yes	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	TU Delft																PhD student	No	No	No	CiTG - Civil Engineering and Geosciences	EPFL
331	No	No		Almost never	No		Yes	No	Not sure		Myself	No	Not sure		General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	TU Delft																PhD student	Yes	Not sure	Yes	CiTG - Civil Engineering and Geosciences	EPFL
332	No	Not sure		Sometimes	No		Yes	Not sure	Not sure		Project partner (e.g. commercial company or a collaborator)	No	No, I have no idea what these are		General introduction to research data management;Data management plan preparation;Data backup and storage solutions;Using version control software	TU Delft																PhD student	No	No	No	CiTG - Civil Engineering and Geosciences	EPFL
333	No	No		Sometimes	No		Yes	No	No		Myself;My university/institution	Not sure	Not sure		General introduction to research data management;Data backup and storage solutions;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	No	No	No	CiTG - Civil Engineering and Geosciences	EPFL
334	No	No		Almost never	Yes			No	Yes		Myself;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	TU Delft																PhD student	Yes	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
335	Yes	No		Sometimes	Yes			No	Yes		My supervisor;My university/institution;My funding agency	No	Not sure		Organising folders and files;Data backup and storage solutions;Using version control software;Data café informal drop in sessions	TU Delft																PhD student	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
336	Yes	No		Almost never	No		Not sure	No	Not sure		Myself;My supervisor;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator)	No	No, I have no idea what these are		Using version control software	TU Delft																PhD student	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
337	No	No		Sometimes	No		Not sure	Yes	Not sure		Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions;Data ownership and licensing	TU Delft																Postdoc/Researcher	Yes	Yes	Yes	CiTG - Civil Engineering and Geosciences	EPFL
338	No	No		Almost never	No		Yes	No	Not sure		Myself;My supervisor	Not sure	No, I have no idea what these are		How to use repositories for data sharing and searching for existing datasets;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	Yes	No	No	CiTG - Civil Engineering and Geosciences	EPFL
339	No	No		Almost never	No		Yes	No	No		Myself;My supervisor;My university/institution;My funding agency	Not sure	Not sure		General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	TU Delft																PhD student	No	No	No	CiTG - Civil Engineering and Geosciences	EPFL
340	No	No		Sometimes	No		Yes	No	Yes		Myself;My university/institution	No	Yes, I am already using them to find existing datasets or to share my own data		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	TU Delft																PhD student	Yes	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
341	Yes	No		Frequently	No		No	Not sure	No		Myself;My supervisor;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data management plan preparation;Data ownership and licensing;Using version control software	TU Delft																PhD student	No	Yes	No	CiTG - Civil Engineering and Geosciences	EPFL
342	Yes	No		Almost never	No		Yes	No	Not sure		Myself;My supervisor	No	No, I have no idea what these are		General introduction to research data management;Organising folders and files;How to use repositories for data sharing and searching for existing datasets;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data café informal drop in sessions	TU Delft																Visiting PhD student	No	No	No	CiTG - Civil Engineering and Geosciences	EPFL
